id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
470,Martin,Dúbravka,Dúbravka,15,1,4.0,44,0.00,0.00,0.00,11.19,900,0,0,5,12,0,0,0,0,0,29,2,160,220.2,0.0,0.0,22.0,10,0.0,2.9,0.0,0.0,1.12,1.2,540,5,24,38,1.0,0.5
471,Mark,Gillespie,Gillespie,15,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,543,8,399,494,0,0
472,Odysseas,Vlachodimos,Odysseas,15,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,548,13,402,455,0,0
473,Lewis,Hall,Hall,15,2,5.5,102,0.43,3.73,4.16,29.73,2188,0,7,8,31,0,0,0,3,0,0,11,443,561.6,561.2,128.0,125.3,24,0.02,0.0,0.15,0.17,1.22,1.28,182,528,60,85,0.99,0.33
474,Fabian,Schär,Schär,15,2,5.5,118,3.94,1.01,4.95,37.26,2935,4,2,11,42,0,0,0,9,1,0,4,440,743.2,111.5,346.0,119.6,33,0.12,0.0,0.03,0.15,1.14,1.29,116,462,87,152,1.01,0.34
475,Sven,Botman,Botman,15,2,5.0,18,0.59,0.22,0.81,5.07,412,0,0,2,4,0,0,0,1,0,0,0,95,110.4,28.4,96.0,23.6,6,0.13,0.0,0.05,0.18,1.11,0.87,259,374,221,266,1.31,0.44
476,Dan,Burn,Burn,15,2,5.0,115,1.97,1.09,3.06,45.22,3330,1,1,13,45,2,0,0,11,0,0,9,476,736.6,123.6,297.0,115.8,37,0.05,0.0,0.03,0.08,1.22,1.22,208,323,123,114,1.0,0.35
477,Tino,Livramento,Livramento,15,2,5.0,105,0.33,2.70,3.03,37.83,2835,0,1,10,40,0,0,0,1,0,0,6,476,567.4,406.2,127.0,110.1,32,0.01,0.0,0.09,0.1,1.2,1.27,286,401,158,62,1.02,0.32
478,Kieran,Trippier,Trippier,15,2,5.0,72,0.12,1.44,1.56,17.05,1299,0,3,6,18,0,0,0,1,0,0,8,287,319.4,406.8,33.0,76.1,14,0.01,0.0,0.1,0.11,1.18,1.25,207,322,140,207,0.97,0.42
479,Emil,Krafth,Krafth,15,2,4.5,17,0.04,0.04,0.08,6.50,334,0,0,1,2,0,0,0,2,0,0,0,55,59.2,19.7,13.0,9.3,2,0.01,0.0,0.01,0.02,1.75,0.54,362,145,309,585,0.54,0.27
480,Jamaal,Lascelles,Lascelles,15,2,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,352,135,491,525,0,0
481,Alex,Murphy,A.Murphy,15,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,627,92,466,229,0,0
482,Harrison,Ashby,Ashby,15,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,580,45,427,363,0,0
483,Miodrag,Pivaš,Pivas,15,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,643,108,477,377,0,0
484,Matt,Targett,Targett,15,2,4.0,2,0.00,0.07,0.07,0.26,20,0,0,0,0,0,0,0,0,0,0,0,7,5.0,5.6,0.0,1.0,0,0.0,0.0,0.32,0.32,1.17,0.0,556,21,338,245,0.0,0.0
485,Anthony,Gordon,Gordon,15,3,7.5,124,8.19,4.80,12.99,32.62,2428,6,6,10,33,0,0,1,2,0,0,9,476,537.0,777.3,655.0,196.8,28,0.3,0.0,0.18,0.48,1.21,1.22,24,640,82,112,1.04,0.37
486,Anthony,Elanga,Elanga,15,3,7.0,153,4.81,5.12,9.93,38.74,2496,6,11,12,35,0,0,0,1,0,0,15,535,627.0,785.4,582.0,199.8,31,0.17,0.0,0.18,0.35,1.4,1.26,38,630,46,32,1.12,0.43
487,Harvey,Barnes,Barnes,15,3,6.5,130,6.45,4.40,10.85,24.32,1746,9,5,6,23,0,0,0,0,0,0,13,442,522.2,407.1,701.0,163.1,17,0.33,0.0,0.23,0.56,1.25,1.19,48,592,53,289,0.88,0.31
