id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
462,Kamaldeen,Sulemana,Kamaldeen,17,3,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,253,627,629,648,0,0
463,Adam,Lallana,Lallana,17,3,5.0,5,0.07,0.06,0.13,1.01,35,0,1,0,1,0,0,0,0,0,0,0,16,23.4,11.7,9.0,4.4,0,0.18,0.0,0.15,0.33,2.6,2.57,187,173,136,567,0.0,0.0
464,Juan,Larios López,Larios,17,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,645,441,460,477,0,0
465,Mateusz,Lis,Lis,17,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,600,405,424,383,0,0
466,Joe,Lumley,Lumley,17,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,589,396,416,308,0,0
467,Ryan,Manning,Manning,17,2,4.4,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,536,476,491,490,0,0
468,Sékou,Mara,Mara,17,4,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,245,622,626,527,0,0
469,Alex,McCarthy,McCarthy,17,1,4.5,6,0.00,0.00,0.00,2.70,180,0,0,0,2,0,0,0,0,0,7,0,21,52.0,0.0,0.0,5.2,2,0.0,3.5,0.0,0.0,1.35,1.0,350,190,101,357,1.0,0.0
470,Paul,Onuachu,Onuachu,17,4,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,194,608,614,429,0,0
471,Will,Smallbone,Smallbone,17,3,5.0,5,0.31,0.54,0.85,3.67,218,0,0,0,3,0,0,0,0,0,0,0,28,20.6,56.9,32.0,10.9,3,0.13,0.0,0.22,0.35,1.52,1.24,216,253,220,530,1.24,0.0
472,Jack,Stephens,Stephens,17,2,4.0,2,0.23,0.10,0.33,7.38,348,0,0,0,8,0,0,0,1,1,0,0,4,42.0,27.1,11.0,8.0,4,0.06,0.0,0.03,0.09,1.91,2.07,577,321,390,207,1.03,0.0
473,Ross,Stewart,Stewart,17,4,4.5,1,0.00,0.00,0.00,0.82,28,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.2,0.0,0.1,0,0.0,0.0,0.0,0.0,2.64,3.21,400,337,298,156,0.0,0.0
474,Sugawara,Yukinari,Sugawara,17,2,4.5,11,0.24,0.79,1.03,7.84,296,1,0,0,8,0,0,0,0,0,0,0,53,100.2,80.6,35.0,21.5,4,0.07,0.0,0.24,0.31,2.38,2.43,391,78,122,312,1.22,0.0
475,Charlie,Taylor,Taylor,17,2,4.0,1,0.00,0.01,0.01,0.19,14,0,0,0,0,0,0,0,0,0,0,0,3,0.8,1.6,2.0,0.4,0,0.0,0.0,0.06,0.06,1.22,0.0,581,322,275,84,0.0,0.0
